parameter,value,y_pred_gp,y_std_gp,is_validation_point,y_sim,constraint_violation,feasible
Mb,10.002519040834814,0.7670448595921017,0.011183269918646214,False,,,
Mb,12.060560624403653,0.7338476935357062,0.01096035919242996,False,,,
Mb,14.11860220797249,0.7043974603960479,0.010886943701992656,False,,,
Mb,16.176643791541327,0.6786721909350547,0.010855593825231902,False,,,
Mb,18.234685375110168,0.6564725830536339,0.010834040592216567,False,,,
Mb,20.292726958679005,0.6374527366543179,0.01083105610706086,False,,,
Mb,22.35076854224784,0.6211769325401474,0.010875833939657718,False,,,
Mb,24.40881012581668,0.60717635409531,0.011005644896434005,False,,,
Mb,26.466851709385516,0.5950005122025972,0.011248749739019528,False,,,
Mb,28.524893292954353,0.5842649865749856,0.01160550688353614,False,,,
Mb,30.58293487652319,0.5746826824157173,0.012043124022730967,False,,,
Mb,32.640976460092034,0.5660679459482978,0.012509080059975173,False,,,
Mb,34.69901804366087,0.5583185820949857,0.01295185970270315,False,,,
Mb,36.75705962722971,0.5513891250735705,0.013336446588100332,False,,,
Mb,38.815101210798545,0.5452654093272231,0.01364998351644268,False,,,
Mb,40.87314279436738,0.5399448060958697,0.013898886269060693,False,,,
Mb,42.93118437793622,0.5354226298610778,0.01410077260279563,False,,,
Mb,44.989225961505056,0.5316831369405064,0.014275224598397673,False,,,
Mb,47.04726754507389,0.5286929291281275,0.014437138526559489,False,,,
Mb,49.10530912864273,0.526395122680926,0.01459412325743955,False,,,
Mb,51.16335071221157,0.524703957948172,0.01474636498009412,False,,,
Mb,53.22139229578041,0.5235012876850733,0.014886967109124677,False,,,
Mb,55.27943387934925,0.5226377263648455,0.015003043646380106,False,,,
Mb,57.337475462918086,0.5219409457701015,0.015079244245831265,False,,,
Mb,59.39551704648692,0.5212311516209733,0.015103974758362115,False,,,
Mb,61.45355863005576,0.5203402142034643,0.015076252434224644,False,,,
Mb,63.5116002136246,0.5191285699700255,0.015010612513579527,False,,,
